Year,Country,Projections for total
2005,Latvia,
2008,Lebanon,2.3
2005,Lebanon,
2008,Lesotho,5.56
2005,Lesotho,
2008,Liberia,5.07
2005,Liberia,
2008,Libya,0.1
2005,Libya,
2008,Lithuania,16.3
2005,Lithuania,
2008,Luxembourg,12.84
2005,Luxembourg,
2008,Madagascar,1.32
2005,Madagascar,
2008,Malawi,1.44
2005,Malawi,
2008,Malaysia,0.87
2005,Malaysia,
2008,Mali,0.99
2005,Mali,
2008,Malta,4.1
2005,Malta,
2008,Mauritania,0.11
2005,Mauritania,
2008,Mauritius,3.53
2005,Mauritius,
2008,Mexico,8.55
2005,Mexico,
2008,Micronesia (Federated States of),5.25
2005,Micronesia (Federated States of),
2008,Mongolia,3.41
2005,Mongolia,
2008,Morocco,1.24
2005,Morocco,
2008,Mozambique,2.27
2005,Mozambique,
2008,Myanmar,0.58
2005,Myanmar,
2008,Namibia,11.46
2005,Namibia,
2008,Nauru,4.81
2005,Nauru,
2008,Nepal,2.42
2005,Nepal,
2008,Netherlands,9.75
2005,Netherlands,
2008,New Zealand,9.99
2005,New Zealand,
2008,Nicaragua,5.21
2005,Nicaragua,
2008,Niger,0.34
2005,Niger,
2008,Nigeria,12.72
2005,Nigeria,
2008,Niue,8.69
2005,Niue,
2008,Norway,8.35
2005,Norway,
2008,Oman,0.92
2005,Oman,
2008,Pakistan,0.05
2005,Pakistan,
2008,Palau,9.86
2005,Palau,
2008,Panama,7.3
2005,Panama,
2008,Papua New Guinea,3.64
2005,Papua New Guinea,
2008,Paraguay,7.91
2005,Paraguay,
2008,Peru,6.53
2005,Peru,
2008,Philippines,6.08
2005,Philippines,
2008,Poland,14.43
2005,Poland,
2008,Portugal,13.89
2005,Portugal,
2008,Qatar,1.29
2005,Qatar,
2008,Republic of Korea,14.81
2005,Republic of Korea,
2008,Republic of Moldova,23.01
2008,Romania,16.15
2005,Romania,
2008,Russian Federation,16.23
2005,Russian Federation,
2008,Rwanda,9.99
2005,Rwanda,
2008,Saint Kitts and Nevis,10.62
2005,Saint Kitts and Nevis,
2008,Saint Lucia,12.05
2005,Saint Lucia,
2008,Saint Vincent and the Grenadines,4.99
2005,Saint Vincent and the Grenadines,
2008,Samoa,"4,51"
2005,Samoa,
2008,Sao Tome and Principe,8.45
2005,Sao Tome and Principe,
2008,Saudi Arabia,0.34
2005,Saudi Arabia,
2008,Senegal,0.51
2005,Senegal,
2008,Serbia,12.21
2005,Serbia,
2008,Seychelles,12.11
2005,Seychelles,
2008,Sierra Leone,9.48
2005,Sierra Leone,
2008,Singapore,1.54
2005,Singapore,
2008,Slovakia,13.31
2005,Slovakia,
2008,Slovenia,14.94
2005,Slovenia,
2008,Solomon Islands,1.37
2005,Solomon Islands,
2008,Somalia,0.5
2005,Somalia,
2008,South Africa,10.16
2005,South Africa,
2008,Spain,11.83
2005,Spain,
2008,Sri Lanka,0.81
2005,Sri Lanka,
2008,Sudan,2.56
2005,Sudan,
2008,Suriname,6.56
2005,Suriname,
2008,Swaziland,5.05
2005,Swaziland,
2008,Sweden,9.98
2005,Sweden,
2008,Switzerland,11.41
2005,Switzerland,
2008,Syrian Arab Republic,1.49
2005,Syrian Arab Republic,
2008,Tajikistan,3.39
2005,Tajikistan,
2008,Thailand,7.08
2005,Thailand,
2008,The former Yugoslav republic of Macedonia,8.94
2005,The former Yugoslav republic of Macedonia,
2008,Timor-Leste,0.74
2005,Timor-Leste,
2008,Togo,1.92
2005,Togo,
2008,Tonga,3.92
2005,Tonga,
2008,Trinidad and Tobago,6.16
2005,Trinidad and Tobago,
2008,Tunisia,1.05
2005,Tunisia,
2008,Turkey,3.02
2005,Turkey,
2008,Turkmenistan,5
2005,Turkmenistan,
2008,Tuvalu,2.14
2005,Tuvalu,
2008,Uganda,16.4
2005,Uganda,
2008,Ukraine,17.47
2005,Ukraine,
2008,United Arab Emirates,0.52
2005,United Arab Emirates,
2008,United Kingdom of Great Britain and Northern Ireland,13.24
2005,United Kingdom of Great Britain and Northern Ireland,
2008,United Republic of Tanzania,7.86
2005,United Republic of Tanzania,
2008,United States of America,9.7
2005,United States of America,
2008,Uruguay,8.99
2005,Uruguay,
2008,Uzbekistan,3.61
2005,Uzbekistan,
2008,Vanuatu,0.96
2005,Vanuatu,
2008,Venezuela (Bolivarian Republic of),7.6
2005,Venezuela (Bolivarian Republic of),
2008,Viet Nam,3.91
2005,Viet Nam,
2008,Yemen,0.2
2005,Yemen,
2008,Zambia,3.56
2005,Zambia,
2008,Zimbabwe,4.96
2005,Zimbabwe,
