caseid,Healthy_diet,Permissive_parenting,Sibling_aggression,Television,computer_games,Aggression
59,6,64.57912761,14,94.82462091,61.52548248,27
60,3,37.06371505,21,101.1708776,38.18231351,22
61,3,33.5725907,15,104.1980764,31.75833122,20
62,2,58.37737794,25,98.67065434,39.67706965,24
63,5,43.14569865,20,102.0671065,40.63134015,18
64,5,40.14006004,22,97.34741175,41.71065637,19
65,1,46.30669672,21,104.3061054,37.56224659,24
66,5,31.36805989,23,104.5054287,38.56409733,19
67,5,44.12672866,22,100.6344037,38.38422667,21
68,3,41.21309895,14,99.01421507,43.01861428,21
69,4,40.61933158,20,98.85178951,42.74582959,20
70,4,40.46567453,20,103.8823852,37.53654445,18
71,6,33.01103478,21,93.45300086,37.95429514,11
72,8,30.28462894,19,85.45220249,23.20448662,17
73,4,35.4944076,20,94.80654648,38.58249142,19
74,3,31.41260139,14,110.8778926,21.06737898,21
75,6,49.24319706,27,101.0209077,41.36085213,27
76,5,18.65830669,14,83.33105011,22.47836457,14
77,6,47.70014679,22,96.88368724,43.69475476,20
78,4,28.44806925,18,90.92551417,35.79903605,21
79,10,57.80845503,25,108.4428682,36.89482554,22
80,4,34.04098403,25,100.3891955,40.43988856,17
81,5,42.00520186,21,100.3333556,35.1300792,21
82,6,56.67969386,20,101.6010545,29.58759079,19
83,6,35.25900059,20,98.05788738,35.99462412,17
84,4,41.26948364,20,100.1113619,40.70727112,20
85,4,43.62021875,20,97.82258598,44.7174232,21
86,4,44.0982078,14,100.7737625,43.99416844,20
87,2,44.4693763,18,103.1042732,37.56607753,24
88,1,42.98325942,19,91.39449563,38.21737049,26
89,5,33.15654237,24,94.45804824,43.00226942,22
90,4,45.51673341,24,103.9040797,41.76896141,18
91,5,41.0457503,20,100.3772235,41.9742082,18
92,3,30.99708852,15,98.08600037,29.68543249,23
93,4,44.38399359,15,96.87888214,39.96558263,19
94,4,40.61538398,17,100.1978233,46.74756495,19
95,6,37.33876076,19,86.58202021,36.65823655,22
96,3,35.7570713,21,95.55036322,40.97772164,19
97,2,35.06723775,20,94.61004578,34.38525457,20
98,6,24.49854933,19,80.75593502,46.88381415,17
99,4,79.93256106,18,119.6323022,33.5562403,21
100,4,36.18566263,22,100.1860678,39.13880753,16
101,2,46.25363809,24,97.8884407,48.71182528,25
102,5,25.22745664,15,92.81772448,36.00389517,17
103,1,32.03448766,21,90.50939435,35.02953991,19
104,2,34.35439962,20,102.1345416,39.9415352,19
105,3,38.77585972,20,96.3576791,25.03761248,23
106,5,39.54254024,22,99.77536258,44.21706441,21
107,4,41.78857814,19,101.9648921,41.19892529,19
108,4,43.40118656,17,98.33215387,34.77543933,21
109,4,49.71830766,20,99.63125072,43.76714205,22
110,4,39.0362682,21,98.280245,39.9976108,20
111,3,56.87811808,23,103.1383831,41.86795302,26
112,4,56.61583082,20,101.5331611,44.37098637,20
113,3,1.931258319,21,97.5573884,27.45315998,20
114,4,39.98659921,22,95.82521849,46.57324996,20
115,4,32.80916554,18,96.19986139,34.02038986,16
116,5,33.97599021,23,100.2166722,46.52657948,19
117,5,57.97727258,17,105.5961086,45.85579173,22
118,1,9.862184836,9,84.20138581,31.89375512,16
119,6,49.70629053,20,101.4884816,40.20937484,18
120,4,42.83858241,20,104.494265,38.75415826,19
121,6,37.54174876,17,97.48128634,36.08595522,19
122,3,39.90902821,22,101.8540221,41.36124525,20
123,5,39.36551389,23,99.05623048,36.07481521,20
124,6,41.54733429,22,106.3095462,46.84192839,20
125,3,25.44595989,13,106.8329426,44.69789352,23
126,3,43.82495229,23,96.33137606,41.48748393,19
127,4,41.7094748,20,102.6532843,40.07303955,19
128,7,69.82103074,16,114.5811317,35.84426695,21
129,3,49.53372544,16,105.7742058,41.12513014,21
130,5,55.15405969,22,110.0183689,38.07507194,19
131,4,43.13746547,18,101.4303788,35.64224107,19
132,3,34.19218407,17,100.3267518,38.28190015,19
133,3,46.02409366,22,101.8246274,35.12465219,21
134,4,55.33382299,24,107.3597882,36.59110642,20
135,4,32.73965191,14,100.7846531,28.57441744,20
136,5,54.37849245,21,107.3275241,40.92704907,23
137,2,41.97070648,29,102.8961941,31.8493485,16
138,4,33.32615783,17,94.58674261,38.30813516,22
139,1,29.41610077,18,105.5003884,29.7009797,16
140,2,38.09185417,21,94.4685913,32.88495388,22
141,4,39.77656102,20,99.10821327,39.23217938,19
142,6,53.68053745,23,104.4411304,38.55558851,21
143,1,51.71358955,18,105.0158452,38.39996466,22
144,6,44.54940271,21,94.52618135,57.06454727,26
145,4,30.44455782,21,96.94881515,35.51060025,17
146,4,40.67016161,20,98.28047079,40.24182421,20
147,4,43.5231323,19,98.80656819,37.92425815,20
148,6,47.84384567,26,104.6098939,43.75680044,24
149,6,60.55511334,22,104.951786,40.37463267,21
150,1,29.66510568,23,96.41094911,37.12367305,26
